Party,Gender,AgeGroup,Region,SocialGroup,PastVote,Brexit,Poll
Conservative,Male,35-44,Scotland,C1,Other,Remain,survation-27-apr
Conservative,Female,45-54,Wales,C2,Other,Remain,survation-27-apr
Conservative,Male,35-44,South,C1,Conservative,Leave,survation-27-apr
Conservative,Female,18-34,Midlands,C2,Liberal Democrats,Leave,survation-27-apr
Conservative,Male,18-34,London,AB,Liberal Democrats,Remain,survation-27-apr
Conservative,Female,18-34,Northern Ireland,AB,Labour,Remain,survation-27-apr
Conservative,Male,45-54,London,DE,Liberal Democrats,Remain,survation-27-apr
Conservative,Male,55-64,Wales,C2,Labour,Remain,survation-27-apr
Conservative,Male,45-54,Scotland,DE,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,Scotland,AB,Labour,Remain,survation-27-apr
Conservative,Male,55-64,South,C2,Labour,Leave,survation-27-apr
Conservative,Female,65+,Scotland,C1,Conservative,Leave,survation-27-apr
Conservative,Female,18-34,North,C2,Conservative,Leave,survation-27-apr
Conservative,Male,65+,Scotland,C2,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,South,DE,Labour,Remain,survation-27-apr
Conservative,Male,65+,Scotland,C1,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,Scotland,C1,Liberal Democrats,Remain,survation-27-apr
Conservative,Male,45-54,London,DE,Liberal Democrats,Leave,survation-27-apr
Conservative,Female,55-64,Wales,C1,Other,Leave,survation-27-apr
Conservative,Female,18-34,London,C1,Other,Leave,survation-27-apr
Conservative,Female,18-34,South,C2,Other,Leave,survation-27-apr
Conservative,Female,65+,London,DE,Liberal Democrats,Remain,survation-27-apr
Conservative,Male,65+,South,DE,Labour,Remain,survation-27-apr
Conservative,Male,65+,London,C2,Conservative,Remain,survation-27-apr
Conservative,Male,55-64,Midlands,C1,Labour,Leave,survation-27-apr
Conservative,Female,65+,South,C2,Labour,Leave,survation-27-apr
Conservative,Male,35-44,Midlands,DE,Conservative,Leave,survation-27-apr
Conservative,Female,65+,North,C1,Labour,Leave,survation-27-apr
Conservative,Male,55-64,Scotland,DE,Labour,Remain,survation-27-apr
Conservative,Male,18-34,South,DE,Liberal Democrats,Leave,survation-27-apr
Conservative,Female,65+,South,C2,Conservative,Remain,survation-27-apr
Conservative,Female,55-64,Midlands,DE,Other,Remain,survation-27-apr
Conservative,Male,55-64,Wales,DE,Conservative,Remain,survation-27-apr
Conservative,Female,18-34,North,C2,Liberal Democrats,Leave,survation-27-apr
Conservative,Female,45-54,Midlands,AB,Liberal Democrats,Remain,survation-27-apr
Conservative,Female,55-64,Midlands,AB,Liberal Democrats,Remain,survation-27-apr
Conservative,Male,55-64,North,C1,Liberal Democrats,Leave,survation-27-apr
Conservative,Female,65+,London,DE,Conservative,Remain,survation-27-apr
Conservative,Male,18-34,London,C1,Labour,Leave,survation-27-apr
Conservative,Male,65+,Scotland,AB,Labour,Remain,survation-27-apr
Conservative,Male,55-64,London,AB,Liberal Democrats,Leave,survation-27-apr
Conservative,Male,45-54,Midlands,C1,Labour,Leave,survation-27-apr
Conservative,Male,65+,London,AB,Labour,Remain,survation-27-apr
Conservative,Male,45-54,Midlands,C2,Conservative,Leave,survation-27-apr
Conservative,Male,65+,London,AB,Liberal Democrats,Remain,survation-27-apr
Conservative,Female,35-44,London,DE,Conservative,Leave,survation-27-apr
Conservative,Male,55-64,Scotland,C1,Conservative,Leave,survation-27-apr
Conservative,Female,45-54,London,C2,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,London,C2,Labour,Remain,survation-27-apr
Conservative,Male,65+,South,C2,Labour,Remain,survation-27-apr
Conservative,Female,35-44,South,C1,Conservative,Remain,survation-27-apr
Conservative,Female,55-64,Midlands,AB,Labour,Leave,survation-27-apr
Conservative,Male,35-44,South,C2,Conservative,Remain,survation-27-apr
Conservative,Female,45-54,London,C2,Conservative,Leave,survation-27-apr
Conservative,Female,45-54,North,C1,Conservative,Remain,survation-27-apr
Conservative,Male,18-34,North,AB,Conservative,Remain,survation-27-apr
Conservative,Male,45-54,Wales,C1,Conservative,Leave,survation-27-apr
Conservative,Male,45-54,North,DE,Conservative,Remain,survation-27-apr
Conservative,Female,65+,Wales,DE,Conservative,Leave,survation-27-apr
Conservative,Female,45-54,North,C1,Conservative,Leave,survation-27-apr
Conservative,Female,65+,South,C1,Conservative,Remain,survation-27-apr
Conservative,Female,18-34,North,C1,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,North,AB,Conservative,Leave,survation-27-apr
Conservative,Male,35-44,South,AB,Conservative,Remain,survation-27-apr
Conservative,Male,65+,North,DE,Conservative,Remain,survation-27-apr
Conservative,Male,35-44,Wales,AB,Conservative,Leave,survation-27-apr
Conservative,Female,65+,Wales,AB,Conservative,Remain,survation-27-apr
Conservative,Female,55-64,North,C1,Conservative,Leave,survation-27-apr
Conservative,Female,45-54,London,C2,Conservative,Leave,survation-27-apr
Conservative,Female,65+,Midlands,AB,Conservative,Remain,survation-27-apr
Conservative,Female,18-34,London,C2,Conservative,Remain,survation-27-apr
Conservative,Male,35-44,South,C2,Conservative,Leave,survation-27-apr
Conservative,Male,18-34,Wales,AB,Conservative,Remain,survation-27-apr
Conservative,Male,55-64,Midlands,C2,Conservative,Leave,survation-27-apr
