RespondentId,Party,Gender,AgeGroup,Region,SocialGroup,PastVote,Brexit
1,Conservative,Female,45-54,Wales,DE,Labour,Remain
2,Conservative,Female,55-64,Midlands,C1,Conservative,Leave
3,Conservative,Female,45-54,London,C2,Conservative,Leave
4,Conservative,Male,35-44,Northern Ireland,C1,Conservative,Remain
5,Conservative,Female,55-64,South,AB,Conservative,Remain
6,Conservative,Female,45-54,Midlands,C2,Liberal Democrats,Remain
7,Conservative,Female,35-44,North,AB,Conservative,Remain
8,Conservative,Female,35-44,London,C2,Conservative,Remain
9,Conservative,Male,55-64,Midlands,C2,Other,Leave
10,Conservative,Male,55-64,South,C1,Conservative,Leave
11,Conservative,Male,35-44,North,C1,Conservative,Remain
12,Conservative,Male,45-54,Wales,C2,Conservative,Remain
13,Conservative,Male,55-64,Scotland,C2,Conservative,Leave
14,Conservative,Female,18-34,Scotland,DE,Conservative,Remain
15,Conservative,Male,55-64,London,C1,Conservative,Remain
16,Conservative,Female,35-44,North,C2,Conservative,Leave
17,Conservative,Female,18-34,Wales,C1,Conservative,Remain
18,Conservative,Male,35-44,Midlands,DE,Conservative,Remain
19,Conservative,Male,45-54,Scotland,C2,Conservative,Remain
20,Conservative,Female,18-34,London,C2,Conservative,Leave
21,Conservative,Male,55-64,North,DE,Conservative,Remain
22,Conservative,Female,45-54,Scotland,C1,Conservative,Remain
23,Conservative,Male,55-64,South,AB,Conservative,Leave
24,Conservative,Female,55-64,London,C1,Conservative,Remain
25,Conservative,Female,18-34,Midlands,AB,Conservative,Remain
26,Conservative,Female,18-34,Midlands,C2,Conservative,Leave
27,Conservative,Male,45-54,Scotland,C1,Conservative,Leave
28,Conservative,Male,65+,Scotland,DE,Conservative,Remain
29,Conservative,Female,55-64,Scotland,DE,Conservative,Remain
30,Conservative,Male,45-54,Wales,C1,Conservative,Leave
31,Conservative,Male,35-44,Midlands,AB,Conservative,Remain
32,Conservative,Female,65+,Midlands,DE,Conservative,Remain
33,Conservative,Female,18-34,Wales,DE,Conservative,Remain
34,Conservative,Female,45-54,South,AB,Conservative,Leave
35,Conservative,Male,45-54,Wales,AB,Conservative,Leave
36,Conservative,Male,18-34,South,C1,Conservative,Remain
37,Conservative,Female,18-34,Wales,DE,Conservative,Remain
38,Conservative,Male,55-64,Wales,C1,Conservative,Leave
39,Conservative,Female,45-54,South,AB,Conservative,Leave
40,Conservative,Male,45-54,South,C2,Conservative,Leave
41,Conservative,Male,45-54,Midlands,DE,Conservative,Leave
42,Conservative,Female,55-64,Scotland,AB,Conservative,Remain
43,Conservative,Male,55-64,South,C2,Conservative,Leave
44,Conservative,Female,55-64,Wales,DE,Conservative,Leave
45,Conservative,Male,55-64,Scotland,C2,Conservative,Remain
46,Conservative,Female,35-44,North,C1,Conservative,Remain
47,Conservative,Male,55-64,Scotland,C2,Conservative,Leave
48,Conservative,Female,65+,North,C2,Conservative,Leave
49,Conservative,Female,18-34,Midlands,C1,Conservative,Remain
50,Conservative,Female,45-54,Midlands,C2,Conservative,Remain
51,Conservative,Male,55-64,Midlands,C1,Conservative,Leave
52,Conservative,Female,45-54,Wales,DE,Conservative,Remain
53,Conservative,Male,65+,Wales,C1,Conservative,Leave
54,Conservative,Male,35-44,South,DE,Conservative,Leave
55,Conservative,Male,55-64,South,C1,Conservative,Remain
56,Conservative,Female,45-54,North,C2,Conservative,Remain
57,Conservative,Male,55-64,South,C2,Conservative,Leave
58,Conservative,Male,45-54,North,DE,Conservative,Leave
59,Conservative,Male,65+,North,DE,Conservative,Leave
60,Conservative,Male,35-44,Wales,C1,Conservative,Remain
61,Conservative,Male,18-34,Midlands,AB,Conservative,Leave
62,Conservative,Male,18-34,Wales,AB,Conservative,Remain
63,Conservative,Female,35-44,South,C1,Conservative,Leave
64,Conservative,Male,35-44,London,C2,Conservative,Remain
65,Conservative,Female,45-54,London,AB,Conservative,Remain
66,Conservative,Male,45-54,London,DE,Conservative,Remain
67,Conservative,Female,55-64,London,AB,Conservative,Remain
68,Conservative,Female,45-54,South,C2,Conservative,Leave
69,Conservative,Female,18-34,North,AB,Conservative,Leave
70,Conservative,Male,45-54,London,C2,Conservative,Leave
71,Conservative,Female,18-34,South,C2,Conservative,Leave
72,Conservative,Male,35-44,Wales,C1,Conservative,Remain
73,Conservative,Female,35-44,South,AB,Conservative,Remain
74,Conservative,Female,45-54,Wales,AB,Conservative,Leave
75,Conservative,Male,35-44,Midlands,DE,Conservative,Leave
76,Conservative,Male,35-44,London,C2,Conservative,Remain
77,Conservative,Female,18-34,Wales,C2,Conservative,Leave
78,Conservative,Male,45-54,London,DE,Conservative,Remain
79,Conservative,Female,35-44,Midlands,DE,Conservative,Leave
80,Conservative,Female,65+,Midlands,C2,Conservative,Leave
81,Conservative,Female,35-44,Midlands,DE,Conservative,Remain
82,Conservative,Female,65+,Wales,C2,Conservative,Remain
83,Conservative,Female,35-44,South,C2,Conservative,Remain
84,Conservative,Male,45-54,Midlands,AB,Conservative,Remain
85,Conservative,Male,45-54,Midlands,AB,Conservative,Remain
86,Conservative,Female,65+,London,AB,Conservative,Remain
87,Conservative,Male,45-54,Wales,C1,Conservative,Remain
88,Conservative,Male,35-44,South,C1,Conservative,Remain
89,Conservative,Female,35-44,North,DE,Conservative,Remain
90,Conservative,Male,55-64,South,C2,Conservative,Remain
91,Conservative,Male,55-64,London,C1,Conservative,Remain
92,Conservative,Male,18-34,London,C1,Conservative,Leave
93,Conservative,Female,55-64,London,C1,Conservative,Leave
94,Conservative,Male,55-64,South,C2,Conservative,Leave
95,Conservative,Female,55-64,South,DE,Conservative,Leave
96,Conservative,Male,35-44,North,C1,Conservative,Leave
97,Conservative,Male,18-34,Midlands,C1,Conservative,Leave
98,Conservative,Female,65+,South,AB,Conservative,Remain
99,Conservative,Female,18-34,London,C1,Conservative,Leave
100,Conservative,Male,35-44,Wales,DE,Conservative,Remain
101,Conservative,Male,45-54,London,C2,Conservative,Remain
102,Conservative,Male,55-64,North,AB,Conservative,Leave
103,Conservative,Female,18-34,London,C1,Conservative,Remain
104,Conservative,Male,45-54,Wales,C1,Conservative,Remain
105,Conservative,Male,35-44,Wales,AB,Conservative,Remain
106,Conservative,Male,35-44,Wales,DE,Conservative,Leave
107,Conservative,Female,45-54,Wales,C2,Conservative,Remain
108,Conservative,Female,35-44,North,C2,Conservative,Remain
109,Conservative,Male,55-64,London,C2,Conservative,Leave
110,Conservative,Female,65+,North,DE,Conservative,Remain
111,Conservative,Male,65+,South,AB,Conservative,Remain
112,Conservative,Male,35-44,South,AB,Conservative,Remain
113,Conservative,Female,55-64,Midlands,DE,Conservative,Remain
114,Conservative,Female,35-44,Midlands,DE,Conservative,Leave
115,Conservative,Male,45-54,Wales,AB,Conservative,Leave
116,Conservative,Male,55-64,South,C1,Conservative,Remain
117,Conservative,Male,55-64,Midlands,C1,Conservative,Leave
118,Conservative,Male,55-64,London,DE,Conservative,Remain
119,Conservative,Female,35-44,South,DE,Conservative,Remain
120,Conservative,Male,18-34,North,AB,Conservative,Leave
121,Conservative,Female,45-54,London,C1,Conservative,Remain
122,Conservative,Male,65+,South,AB,Conservative,Leave
123,Conservative,Male,65+,Midlands,DE,Conservative,Remain
124,Conservative,Male,55-64,South,DE,Conservative,Leave
125,Conservative,Female,35-44,North,DE,Conservative,Remain
126,Conservative,Female,65+,North,C1,Conservative,Leave
127,Conservative,Male,55-64,South,C2,Conservative,Remain
128,Conservative,Male,35-44,Midlands,DE,Conservative,Leave
129,Conservative,Male,35-44,Wales,C2,Conservative,Remain
130,Conservative,Male,45-54,Midlands,C2,Conservative,Remain
131,Conservative,Male,55-64,Wales,C1,Conservative,Remain
132,Conservative,Male,18-34,North,C1,Conservative,Leave
133,Conservative,Female,35-44,London,C2,Conservative,Remain
134,Conservative,Male,18-34,North,DE,Conservative,Leave
135,Conservative,Female,18-34,South,AB,Conservative,Leave
136,Conservative,Female,65+,London,C1,Conservative,Leave
137,Conservative,Female,55-64,Midlands,C1,Conservative,Leave
138,Conservative,Male,45-54,Midlands,C1,Conservative,Leave
139,Conservative,Female,45-54,South,DE,Conservative,Leave
140,Conservative,Female,65+,Wales,C2,Conservative,Leave
141,Conservative,Female,65+,Midlands,C2,Conservative,Leave
142,Conservative,Male,55-64,Midlands,DE,Conservative,Leave
143,Conservative,Female,45-54,South,C1,Conservative,Leave
144,Conservative,Female,65+,Wales,AB,Conservative,Leave
145,Conservative,Female,65+,Wales,C1,Conservative,Leave
146,Conservative,Male,18-34,Wales,DE,Conservative,Leave
147,Conservative,Male,18-34,North,AB,Conservative,Leave
148,Conservative,Female,18-34,North,C2,Conservative,Leave
149,Conservative,Male,18-34,Midlands,C1,Conservative,Leave
150,Conservative,Male,35-44,South,DE,Conservative,Leave
151,Conservative,Male,65+,London,DE,Conservative,Leave
152,Conservative,Male,35-44,Wales,DE,Conservative,Leave
153,Conservative,Female,65+,South,AB,Conservative,Leave
154,Conservative,Female,65+,South,C2,Conservative,Leave
155,Conservative,Male,55-64,North,DE,Conservative,Leave
156,Conservative,Female,45-54,North,C1,Conservative,Leave
157,Conservative,Female,55-64,North,DE,Conservative,Leave
158,Conservative,Female,18-34,London,C1,Conservative,Leave
159,Conservative,Male,65+,North,C2,Conservative,Leave
160,Conservative,Female,35-44,Wales,C1,Conservative,Leave
161,Conservative,Male,18-34,South,C1,Conservative,Leave
162,Conservative,Male,55-64,London,DE,Conservative,Leave
163,Conservative,Male,45-54,Midlands,AB,Conservative,Leave
