RespondentId,Party,Gender,AgeGroup,Region,SocialGroup,PastVote,Brexit
1,Conservative,Male,45-54,Northern Ireland,DE,Conservative,Remain
2,Conservative,Male,18-34,Wales,C1,Labour,Remain
3,Conservative,Female,35-44,Midlands,DE,Liberal Democrats,Remain
4,Conservative,Female,18-34,North,C1,Conservative,Leave
5,Conservative,Female,65+,Midlands,C1,Conservative,Leave
6,Conservative,Male,55-64,Wales,DE,Other,Leave
7,Conservative,Female,65+,Scotland,C1,Conservative,Leave
8,Conservative,Male,55-64,London,DE,Conservative,Leave
9,Conservative,Male,65+,Scotland,DE,Conservative,Leave
10,Conservative,Male,55-64,Scotland,AB,Conservative,Leave
11,Conservative,Male,65+,London,DE,Conservative,Leave
12,Conservative,Male,55-64,North,C2,Conservative,Remain
13,Conservative,Female,45-54,North,C2,Conservative,Leave
14,Conservative,Male,35-44,Wales,AB,Conservative,Leave
15,Conservative,Male,35-44,South,C1,Conservative,Leave
16,Conservative,Male,65+,Wales,DE,Conservative,Remain
17,Conservative,Male,35-44,Midlands,C2,Conservative,Leave
18,Conservative,Female,55-64,London,C1,Conservative,Leave
19,Conservative,Male,18-34,London,C2,Conservative,Remain
20,Conservative,Female,65+,Wales,C2,Conservative,Remain
21,Conservative,Male,65+,South,C1,Conservative,Leave
22,Conservative,Male,35-44,Midlands,AB,Conservative,Leave
23,Conservative,Male,55-64,Midlands,C2,Conservative,Remain
24,Conservative,Male,35-44,London,AB,Conservative,Leave
25,Conservative,Female,35-44,North,AB,Conservative,Leave
26,Conservative,Male,18-34,Midlands,C2,Conservative,Leave
27,Conservative,Female,55-64,Wales,C2,Conservative,Leave
28,Conservative,Female,18-34,Scotland,C2,Conservative,Remain
29,Conservative,Female,55-64,Wales,DE,Conservative,Leave
30,Conservative,Male,18-34,South,C1,Conservative,Leave
31,Conservative,Female,18-34,Wales,DE,Conservative,Leave
32,Conservative,Female,65+,Wales,AB,Conservative,Remain
33,Conservative,Female,45-54,South,DE,Conservative,Remain
34,Conservative,Male,35-44,Scotland,AB,Conservative,Leave
35,Conservative,Female,35-44,Wales,DE,Conservative,Leave
36,Conservative,Male,45-54,Wales,DE,Conservative,Leave
37,Conservative,Female,65+,London,DE,Conservative,Leave
38,Conservative,Male,55-64,North,AB,Conservative,Remain
39,Conservative,Male,45-54,London,C1,Conservative,Remain
40,Conservative,Male,55-64,London,C1,Conservative,Leave
41,Conservative,Male,65+,London,C1,Conservative,Leave
42,Conservative,Female,55-64,London,DE,Conservative,Remain
43,Conservative,Female,55-64,North,DE,Conservative,Remain
44,Conservative,Male,55-64,Scotland,C2,Conservative,Leave
45,Conservative,Male,55-64,Scotland,C1,Conservative,Leave
46,Conservative,Female,45-54,London,C1,Conservative,Leave
47,Conservative,Male,65+,London,C1,Conservative,Leave
48,Conservative,Female,55-64,Midlands,DE,Conservative,Leave
49,Conservative,Female,35-44,London,DE,Conservative,Leave
50,Conservative,Male,35-44,Midlands,DE,Conservative,Leave
51,Conservative,Male,65+,London,DE,Conservative,Remain
52,Conservative,Male,35-44,Wales,C2,Conservative,Leave
53,Conservative,Female,55-64,Scotland,DE,Conservative,Leave
54,Conservative,Female,65+,Scotland,DE,Conservative,Leave
55,Conservative,Female,55-64,North,AB,Conservative,Leave
56,Conservative,Male,65+,London,AB,Conservative,Remain
57,Conservative,Male,35-44,Midlands,AB,Conservative,Leave
58,Conservative,Male,35-44,North,AB,Conservative,Leave
59,Conservative,Male,18-34,Midlands,C2,Conservative,Leave
60,Conservative,Male,35-44,London,DE,Conservative,Leave
61,Conservative,Male,45-54,Scotland,C1,Conservative,Leave
62,Conservative,Female,35-44,Scotland,C2,Conservative,Leave
63,Conservative,Female,55-64,London,C2,Conservative,Leave
64,Conservative,Female,45-54,London,C1,Conservative,Remain
65,Conservative,Male,35-44,Midlands,C1,Conservative,Leave
66,Conservative,Female,65+,North,DE,Conservative,Leave
67,Conservative,Female,55-64,Midlands,C1,Conservative,Leave
68,Conservative,Male,35-44,North,DE,Conservative,Remain
69,Conservative,Female,18-34,South,C2,Conservative,Leave
70,Conservative,Male,65+,London,DE,Conservative,Remain
71,Conservative,Male,18-34,South,DE,Conservative,Remain
72,Conservative,Female,18-34,London,DE,Conservative,Leave
73,Conservative,Female,65+,North,C2,Conservative,Leave
74,Conservative,Female,55-64,Scotland,AB,Conservative,Leave
75,Conservative,Female,65+,Midlands,C1,Conservative,Leave
76,Conservative,Female,65+,Scotland,DE,Conservative,Remain
77,Conservative,Female,18-34,Midlands,C1,Conservative,Leave
78,Conservative,Female,65+,North,C1,Conservative,Remain
79,Conservative,Female,18-34,Wales,C1,Conservative,Leave
80,Conservative,Male,35-44,London,AB,Conservative,Leave
81,Conservative,Female,35-44,London,DE,Conservative,Remain
82,Conservative,Male,55-64,Midlands,DE,Conservative,Remain
83,Conservative,Male,35-44,North,C2,Conservative,Leave
84,Conservative,Male,18-34,Midlands,C2,Conservative,Remain
85,Conservative,Female,65+,North,DE,Conservative,Remain
86,Conservative,Female,18-34,London,C1,Conservative,Leave
87,Conservative,Male,18-34,Wales,DE,Conservative,Leave
88,Conservative,Female,65+,North,AB,Conservative,Remain
89,Conservative,Male,18-34,Wales,AB,Conservative,Remain
90,Conservative,Female,18-34,South,AB,Conservative,Leave
91,Conservative,Female,65+,Wales,C2,Conservative,Leave
92,Conservative,Female,18-34,Wales,C2,Conservative,Remain
93,Conservative,Female,65+,Wales,C1,Conservative,Remain
94,Conservative,Male,55-64,Scotland,DE,Conservative,Leave
95,Conservative,Male,45-54,Midlands,C2,Conservative,Leave
96,Conservative,Male,65+,London,C2,Conservative,Leave
97,Conservative,Female,18-34,London,AB,Conservative,Remain
98,Conservative,Male,35-44,Scotland,DE,Conservative,Leave
99,Conservative,Male,55-64,London,C2,Conservative,Remain
100,Conservative,Male,45-54,Wales,C2,Conservative,Remain
101,Conservative,Male,18-34,North,C1,Conservative,Leave
102,Conservative,Female,45-54,Wales,C1,Conservative,Remain
103,Conservative,Male,55-64,South,AB,Conservative,Remain
104,Conservative,Male,18-34,Scotland,C2,Conservative,Remain
105,Conservative,Female,55-64,North,C2,Conservative,Leave
106,Conservative,Female,45-54,South,C1,Conservative,Leave
107,Conservative,Female,55-64,London,AB,Conservative,Remain
108,Conservative,Male,55-64,Wales,AB,Conservative,Remain
109,Conservative,Male,35-44,North,C2,Conservative,Leave
